음식이름,음식재료,음식조리법,음식영양성분,음식이미지url
구운 당근 칩을 곁들인 사탕무 후 머스,"5.3 온스 사탕무 (다진)
5.3 온스 통조림 병아리 콩 (425g = 225g 병아리 콩, 배수) (헹굼 및 배수)
10ml 올리브 오일
50ml 물
0.85 fl oz 레몬 주스, 갓 짜낸
1 히말라야 소금과 후추를 꼬집어
0.6 온스 타 히니
마늘 정향 1 개, 분쇄
1 tsp.커민
1 tsp.파프리카
250g 당근, 칩으로 자릅니다
스프레이 올리브 오일 스프레이","지침
오븐을 180도 Celcius로 예열하십시오.베이킹 용지로 베이킹 트레이를 줄이십시오
비트 뿌리와 당근을 트레이에 놓습니다.비트 뿌리와 당근에 올리브 오일을 가볍게 뿌리고 히말라야 소금과 후추로 양념하십시오.오븐에서 30 분 동안 또는 요리 할 때까지 굽습니다.일단 요리 한 후에는 식히기 위해
비트 뿌리가 식 으면 피부를 제거하고 푸드 프로세서로 옮깁니다.
병아리 콩, 올리브 오일, 물, 레몬 주스, 타히니, 마늘, 커민 및 파프리카를 첨가하십시오.부드러운 일관성이 형성 될 때까지 처리하십시오.사탕무 뿌리와 후 머스 딥을 2 인분으로 나눕니다
사탕무 뿌리와 후 머스 딥의 1 서빙 1 회. 당근 칩 절반이 있습니다.
내일의 남은 음식을 위해 두 번째 서브를 냉장 보관하십시오","서빙 크기 330g
칼로리 269 Cal
단백질 8.8g
지방, 총 11.3g
- 포화 된 1.5g
탄수화물 25.9g
- 설탕 15g
나트륨 375.8mg
식이 섬유 13.7g",https://cdn.f45training.com/strapi/uploads/2019/11/21121832/beetroot-dip-.jpg
버섯과 체리 토마토 두부 스크램블,"11 온스 비단 두부 (요리되지 않은)
2 x 1.34oz 전체 곡물 빵 조각
3.6 온스 버섯 (다진)
2.9 온스 체리 토마토 (다진)
1.1 온스 베이비 시금치 잎
1.8 온스 갈색 양파 (슬라이스)
1 티스푼 말린 향신료
0.5 티스푼 심황 가루
마늘 정향 1 개 (으깬)
0.3 fl.oz 엑스트라 버진 올리브 오일","지침
중간 온도에서 스틱 튀김 팬에 올리브 오일을 가열합니다.
두부, 양파, 버섯, 향신료, 심황 및 마늘을 몇 분 동안 볶습니다.
체리 토마토와 아기 시금치 잎을 섞어 5-7 분 동안 계속 요리하고 가끔 저어줍니다.
빵을 토스트하고 접시로 옮깁니다
비건 스크램블을 맨 위에 추가하십시오
제공하다","서빙 크기 651g
칼로리 449 Cal
단백질 27.0g
지방, 총 16.1g
- 포화 2.3g
탄수화물 39.0g
- 설탕 7.6g
나트륨 369mg",https://cdn.f45training.com/strapi/uploads/2019/11/21110608/tofu-scramble.jpg
팔라 펠 그릇,"6 온스 통조림 병아리 콩 (425g = 225g 병아리 콩, 배수) (헹굼 및 배수 (Falafel))
1.8 온스 갈색 양파 (Falafel)
0.4 fl.oz 엑스트라 버진 올리브 오일 (팔라 펠을 닦으려면)
1 티스푼 지상 고수수 (Falafel)
1 티스푼 커민 (Falafel)
0.5 티스푼 훈제 파프리카 (Falafel)
0.4 온스 파슬리 (신선한, 다진, 팔라 펠)
0.1 온스 치아 씨앗 (0.5 tsp, falafel)
마늘 정향 1 개 (Falafel)
1 꼬집음 히말라야 소금 및 후추 (Falafel)
0.6 온스 타 히니 (Tahini 드레싱)
0.33fl.오즈 레몬 주스 (Tahini 드레싱)
0.2 온스 파슬리 (신선한, 다진, 타 히니 드레싱)
1.1 fl.oz 물 (따뜻함 (타 히니 드레싱))
마늘 정향 1 개 (으스스한 (Tahini 드레싱))
1.8 온스 아루 굴라
1.8 온스 오이 (슬라이스)
1.8 온스 체리 토마토 (다진)","지침
팔라 펠
오븐을 355 ° F로 예열하고 베이킹 트레이를 베이킹 용지로 정렬합니다.
푸드 콩을 푸드 프로세서에서 부서지기 시작할 때까지 맥박
고수풀, 커민, 파프리카, 파슬리, 히말라야 소금과 후추, 마늘, 치아 씨앗 및 양파를 첨가하고 혼합물이 결합 될 때까지 혼합하십시오.
혼합물을 그릇으로 옮깁니다.손바닥을 사용하여 팔라 펠 볼을 굴려 5 개를 만들고 트레이에 놓습니다.
생과자 브러시를 사용하여 올리브 오일을 팔라 펠 위로 닦으십시오.
쟁반에 공을 놓고 오븐에서 20 분 동안 굽고 반쯤 돌면 팔라 펠의 모든면이 요리되도록하십시오.요리하고 황금빛 갈색 일단 오븐에서 팔라 펠을 제거하고 따로 보관하십시오.
타 히니 드레싱
항아리에 모든 재료를 추가하고 함께 섞습니다.
따로
중동 팔라 펠 보울을 만듭니다
성분을 결합하지 않고 arugula, 오이, 체리 토마토 및 팔라 펠을 그릇에 넣습니다.
타히니 드레싱을 맨 위에 붓습니다
제공하다","서빙 크기 467g
칼로리 447 Cal
단백질 17.86g
지방, 총 23.63g
- 포화 된 3.09g
탄수화물 30.14g
- 설탕 6.44g
나트륨 597.91mg",https://cdn.f45training.com/strapi/uploads/2019/11/20161845/falafel-balls.jpg
요거트 드레싱을 곁들인 터키 쌀 그릇,"2.5 온스 Arborio Rice (요리되지 않은)
15 fl.oz 감소 된 소금 액체 야채 스톡
0.2 온스 버터
0.8 온스 vermicelli 쌀 국수 (요리되지 않은)
요거트 드레싱
7.1 온스 무가당 그리스 요구르트
1.8 온스 오이 (강판)
마늘 정향 1 개 (으깬)
1 티스푼 말린 민트
1 히말라야 소금을 꼬집어
토마토 오이 샐러드
5.3 온스 오이 (깍둑 썰기)
7.1 온스 토마토 (깍둑 썰기)
1.8 온스 붉은 양파 (깍둑 썰기)
2.9 온스 파슬리 (다진)
0.6 온스 해바라기 커널
1.5 fl.oz.레몬, 갓 짜낸
0.6 fl.oz 엑스트라 버진 올리브 오일 (3 tsp)","지침
터키 쌀
중간 냄비에 버터를 중간 열에 녹인다.vermicelli 국수를 넣고 가볍게 황금빛이 될 때까지 1-2 분 동안 볶습니다.
액체 야채 스톡을 냄비에 넣고 끓입니다.
쌀을 넣고 열을 중간 정도로 줄입니다.약 20 분 동안 또는 쌀이 확장되어 부드러워 질 때까지 요리하십시오.따로
요거트 드레싱
모든 드레싱 재료를 작은 그릇에 함께 결합하십시오.따로.
토마토 오이 샐러드
중간 그릇에 재료를 섞습니다.따로.
요거트 드레싱을 곁들인 터키 쌀 그릇
터키 쌀, 요구르트 드레싱, 토마토 및 오이 샐러드를 두 그릇 사이에 나눕니다.
하나의 그릇을 제공하고 내일 남은 내일의 두 번째 그릇을 냉장 보관하십시오.","서빙 크기 683g
칼로리 443 Cal
단백질 16.0g
지방, 총 15.8g
- 포화 4.3g
탄수화물 52.9g
- 설탕 14.9g
나트륨 829mg",https://cdn.f45training.com/strapi/uploads/2019/11/20130541/tukkish-rice.jpg
구운 채소 피자,"1 x 2.11oz Wholemeal Pita 빵
0.8 온스 토마토 페이스트
마늘 정향 1 개 (으깬)
0.3 온스 바질 (다진)
0.2 fl.oz 엑스트라 버진 올리브 오일 (1 tsp)
70g 빨간 피망
1.8 온스 빨간 양파 (슬라이스)
3.2 온스 버섯 (다진)
0.8 온스 검은 올리브 (피트 앤 얇게 썬)
3.2 온스 가지 (다진)
1.1 온스 유제품이없는 파쇄 치즈","지침
오븐을 355 ° F로 예열하고 베이킹 트레이를 베이킹 용지로 정렬합니다.
트레이에 피타 빵을 추가하십시오.토마토 페이스트, 분쇄 마늘, 올리브 오일, 히말라야 소금과 후추 핀치, 바질을 바닥에 뿌립니다.
피망, 붉은 양파, 버섯, 검은 올리브 및 가지 층
치즈를 윗면 위에 뿌립니다.오븐에서 피자를 10 분 동안 굽습니다
피자를 조각으로 자릅니다
제공하다","서빙 크기 445g
칼로리 443 Cal
단백질 18.13g
지방, 총 17.60g
- 포화 5.0g
탄수화물 45.85g
- 설탕 13.28g
나트륨 1684.85mg",https://cdn.f45training.com/strapi/uploads/2019/11/19104647/veggie-pita-bread.jpg
봄 야채를 곁들인 건강한 치킨 파르 미지 아나,"5.3 온스 닭 가슴살 필레
3.6 온스 콜리 플라워 (다진)
2.9 온스 호박 (다진)
2.9 온스 당근 (다진)
3.6 온스 녹두 (트리밍)
2.9 온스 냉동 녹색 완두콩
0.1 fl.oz 엑스트라 버진 올리브 오일 (0.5 tsp)
1.5 온스 파쇄 체다 치즈
2.9 온스 통조림 분쇄 토마토
0.5 티스푼 말린 바질
1 히말라야 소금과 후추를 꼬집어","지침
오븐을 356 ° F로 가열하고 베이킹 트레이에 베이킹 페이퍼로 줄을 긋습니다.닭 가슴살을 트레이에 놓고 10 분 동안 굽습니다.
10 분 후, 오븐에서 닭고기를 꺼내어 으깬 토마토, 바질 및 치즈로 윗면에 2-4 분 동안 굽고 토핑이 녹고 닭고기가 요리 될 때까지 굽습니다.
한편 콜리 플라워, 당근 및 녹두를 끓는 물 위에 김이 나는 바구니에 넣습니다.몇 분 남은 상태에서 호박과 완두콩을 넣고 부드러워 질 때까지 요리하십시오.올리브 오일과 소금으로 준비된 계절.
봄 야채와 함께 치킨 파르 미지 아나를 제공하십시오.","서빙 크기 714g
칼로리 452 Cal
단백질 55.32g
지방, 총 12.76g
- 포화 5.87g
탄수화물 23.70g
- 설탕 18.65g
식이 섬유 13.39g
나트륨 687.43mg",https://cdn.f45training.com/strapi/uploads/2019/11/15153908/healthy-chicken-parmigiana-with-spring-cegetables.jpg
녹두와 브로콜리를 곁들인 메이플 된장 돼지 고기,"5.3 온스 돼지 고기 스트립
3 온스 브로콜리 (다진)
3.2 온스 녹두
1 히말라야 소금을 꼬집어
0.1 fl.oz 엑스트라 버진 올리브 오일 (0.5 tsp)
0.2 온스 참깨 씨앗 (1 tsp)
메이플 된장 소스
0.2 fl.oz 참깨 (1 tsp)
0.2 온스 생강 (0.5 tsp, grated)
마늘 정향 1 개 (으깬)
0.8 온스 흰색 된장 페이스트 (1 큰술)
0.2 fl.oz 메이플 시럽 (1 tsp)
0.2 fl.oz Rice Wine (1 tsp)
0.2 fl.oz 감소 된 소금 간장 (1 tsp)
0.2 fl.oz 물 (1 tsp)","지침
된장 소스를 만들려면 참깨 오일, 된장 페이스트, 마늘, 생강, 메이플 시럽, 쌀 와인 식초, 간장 및 물을 그릇에 넣고 섞어 섞습니다.돼지 고기를 가실 매리 네이드에 넣고 냉장고에서 최소 10 분 동안 담그십시오.
중간 온도에서 팬을 가열하십시오.돼지 고기를 요리하고 요리 할 때까지 몇 분 동안 저어주십시오.
한편 브로콜리와 녹두를 끓는 바구니에 끓는 바구니에서 부드러워 질 때까지 요리합니다.준비가되면 올리브 오일과 소금으로 양념하십시오
야채와 함께 된장 돼지 고기를 제공하고 참깨를 뿌린다
봉사하고 즐기십시오","서빙 크기 355g
칼로리 445 Cal
단백질 42.31g
지방, 총 22.73g
- 포화 6.52g
탄수화물 12.73g
- 설탕 7.14g
나트륨 1173.62mg",https://cdn.f45training.com/strapi/uploads/2019/11/15100440/miso-pork-with-breen-beans-_-broccoli.jpg
봄 야채와 함께 고추 쇠고기 미트볼,"5.3 온스 콜리 플라워 (플로렛으로 다진)
5.3 온스 호박 (길이로 잘라)
3.6 온스 당근 (껍질을 벗기고 막대기로 자릅니다)
3.6 온스 녹색 콩 (끝이 다듬기)
3.6 온스 냉동 녹색 완두콩
1.5 온스 페타 치즈 (무너짐)
7.1 온스 마른 쇠고기 다진 (미트볼)
2.2 온스 브라운 양파 (다진 (미트볼))
0.2 fl.oz 엑스트라 버진 올리브 오일 (1 tsp. (미트볼))
1.8 온스 통로 빵 부스러기 (미트볼)
1 x 1.76oz 계란 (미트볼)
1 티스푼 말린 파슬리 (미트볼)
0.2 온스 붉은 고추 (미세한 다진 (미트볼))
0.5 티스푼 커민 (미트볼)
1 티스푼 파프리카 (미트볼)
히말라야 소금 및 후추 1 개 (미트볼)","지침
미트볼 성분을 큰 그릇에 함께 섞습니다.
깨끗한 손을 사용하여 혼합물을 중간 크기의 공으로 굴려서 접시로 옮깁니다.냉장고에 30 분 동안 놓습니다.
오븐을 400˚F로 예열하고 베이킹 트레이에 베이킹 페이퍼로 줄을 긋습니다.미트볼을 트레이에 고르게 놓고 약 15 분 동안 또는 요리 할 때까지 굽습니다.약 8 분 후에 미트볼을 돌려 고르게 요리 할 수 ​​있습니다.
한편, 다진 콜리 플라워, 당근 및 녹두를 끓는 바구니에 3-4 분 동안 끓는 바구니에 끓인 바구니에 끓입니다.호박과 완두콩을 넣고 부드러워 질 때까지 요리하십시오.
요리 된 미트볼과 채소를 2 인분으로 나눕니다.페타 치즈의 절반으로 한 부분과 상단을 제공하십시오.내일의 남은 음식에 대한 나머지 부분을 냉장 보관하십시오.","서빙 크기 505g
칼로리 457 Cal
단백질 39.0g
지방, 총 18.1g
- 포화 6.7g
탄수화물 30.1g
- 설탕 12.8g
나트륨 596mg",https://cdn.f45training.com/strapi/uploads/chilli_beef_meatballs_with_spring_vegetables_020a72677f.jpeg
"땅콩, 생강 및 참깨 치킨 샐러드","9.2 온스 닭 가슴살 필레 (피부가없고 스트립으로 자릅니다)
0.1 fl.oz 엑스트라 버진 올리브 오일 (0.5 tsp.)
1 히말라야 소금과 후추를 꼬집어
0.3 온스 참깨 씨앗
1.1 온스 땅콩 (가볍게 으깬)
8g 실란트로, 다진
11 온스 콜레 샐러드 믹스 (녹색 양배추, 붉은 양배추 및 당근)
0.6 fl.oz 감소 된 소금 간장 (땅콩 생강 드레싱)
0.4 fl.oz Rice Wine (땅콩 생강 드레싱)
0.5fl.oz 라임 주스, 갓 짜낸 (땅콩 생강 드레싱)
0.2 온스 꿀 (0.5 tsp. (땅콩 생강 드레싱))
0.3 온스 땅콩 버터 (1.5 tsp. (땅콩 생강 드레싱))
0.1 온스 생강 뿌리 (1 tsp. 껍질을 벗기고 잘게 잘게 썬 (땅콩 생강 드레싱))
0.3 fl.oz 참깨 (땅콩 생강 드레싱)
0.2 fl.oz 엑스트라 버진 올리브 오일 (1 tsp. (땅콩 생강 드레싱)))","지침
비 스틱 팬에 올리브 오일을 중간 열에 가열하고 양쪽에서 닭고기를 7-8 분 동안 또는 익힐 때까지 요리합니다.소금과 후추로 간을 맞춘다.
작은 그릇에 땅콩 생강 드레싱의 재료를 결합하십시오.
대장균 믹스를 큰 그릇에 넣고 요리 한 닭고기와 다진 실란트로를 저어줍니다.분쇄 된 땅콩과 참깨를 뿌린다.
샐러드의 절반을 제공하고 드레싱의 절반으로 드레스를 입으십시오.
남은 샐러드와 내일 드레싱을 냉장 보관하십시오.","서빙 크기 320g
칼로리 446 Cal
단백질 36.12g
지방, 총 28.22g
- 포화 5.80g
탄수화물 8.11g
- 설탕 6.90g
나트륨 579.21mg",https://cdn.f45training.com/strapi/uploads/2019/11/14164217/peanut-ginger-_-sesame-chicken-salad.jpg
"양배추, 브로콜리 및 완두콩을 곁들인 와사비 쇠고기","12 온스 마른 쇠고기 스트립
4.6 온스 브로콜리 (Florets)
3.6 온스 녹색 양배추 (다진)
5.3 온스 냉동 녹색 완두콩
0.2 fl.oz 엑스트라 버진 올리브 오일 (1 tsp)
0.4 온스 참깨 씨앗 (1 tbsp)
일본식 와사비 쇠고기
마늘 정향 2 개 (다진)
0.1 온스 생강 (0.5 tsp. 껍질, 다진)
0.4 온스 와사비 페이스트 (선택 사항, 1TBSP)
0.3 온스 꿀 (1 tsp)
0.5 fl.oz 감소 된 소금 간장 (2.5 tsp)
0.4 fl.oz 참깨 (2 tsp)","지침
일본식 와사비 소스의 재료를 그릇에 넣고 적어도 10 분 동안 쇠고기 스트립을 담그십시오 (더 길수록 맛이 좋습니다)
중간 열에 프라이팬에 올리브 오일을 데우고 쇠고기 스트립을 요리하고, 원하는대로 요리 할 때까지 몇 분 동안 튀김을 저어줍니다.
한편 브로콜리를 끓는 물 위에 김이 나는 바구니로 요리하십시오.몇 분 남은 상태에서 양배추와 완두콩을 넣고 부드러워 질 때까지 요리하십시오.
야채와 함께 와사비 쇠고기의 절반을 제공하고 참깨를 뿌린다
내일 남은 오버의 다른 부분을 냉장 보관하십시오","서빙 크기 411g
칼로리 444 Cal
단백질 58.24g
지방, 총 14.67g
- 포화 2.92g
탄수화물 14.83g
- 설탕 8.33g
식이 섬유 9.76g
나트륨 651.22mg",https://cdn.f45training.com/strapi/uploads/2019/11/14164211/japanese-style-wasabi-beef-with-cabbage-breccoli-_-peas.jpg
/ 아보카도와 페타 치즈를 곁들인 계란 부리 토,"4 x 1.8 온스 계란 (중간)
1 히말라야 소금과 후추를 꼬집어
카이엔 고추 1 개
0.5 티스푼 엑스트라 버진 올리브 오일
0.8 온스 붉은 양파 (깍둑 썰기)
0.9 온스 버섯
2 온스 호박 (깍둑 썰기)
0.6 온스 영어 시금치
0.6 온스 페타 치즈 (무너짐)
1.3 온스 아보카도 (슬라이스)","지침
계란을 그릇에 부르고 격렬하게 휘젓습니다.소금, 후추, 카이엔 고추로 간을 봅니다.
중간 온도에서 끈이없는 튀김 팬에 올리브 오일을 가열하고 몇 분 동안 붉은 양파를 볶습니다.버섯과 호박을 넣고 야채가 부드러워 질 때까지 몇 분 동안 계속 요리하십시오.팬에서 제거하고 따로 보관하십시오.
같은 팬을 사용하여 계란 혼합물을 팬에 붓고 한쪽에 몇 분 동안 요리 한 다음 뒤집어서 요리 할 때까지 다른 쪽에서 계속 요리합니다.반으로 접지 마십시오. 부리 토와 비슷해야합니다.
계란 부리 토를 접시 위에 놓고 시금치, 버섯 믹스, 아보카도 및 페타 치즈를 겹쳐 놓습니다.
달걀 부리 토를 굴려 서빙하십시오.","서빙 크기 260g
칼로리 452 Cal
단백질 31.30g
지방, 총 34.66g
- 포화 된 10.60g
탄수화물 3.07g
- 설탕 3.02g
나트륨 474.42mg",https://cdn.f45training.com/strapi/uploads/2019/11/13095221/keto-breakfast-burrito- avocado-_-feta-cheese.jpg
박제 퀴 노아와 크랜베리 ​​빨간 피망,"1 x 8.8oz 전체 capsicum, 상단 제거
1.8 온스 퀴 노아 (요리되지 않은)
3.4 fl.oz 물
0.3 온스 파슬리 (다진)
4.6 온스 호박 (잘린)
5.3 온스 버섯 (다진)
0.4 온스 크랜베리
1.1 온스 붉은 양파 (다진)
0.2 fl.oz 엑스트라 버진 올리브 오일 (1 tsp.)
마늘 정향 2 개 (으깬)
0.5 티스푼 심황
1.1 온스 아보카도","지침
오븐을 화씨 356도까지 예열하고 베이킹 트레이에 정렬하십시오.피망을 트레이에 넣고 오븐에서 15 분 동안 굽습니다.부분적으로 요리되면 오븐에서 제거하십시오
피망이 베이킹하는 동안, 중간 열에 냄비에 올리브 오일을 가열하고 양파, 버섯 및 호박을 몇 분 동안 마늘로 볶습니다.
물을 넣고 끓입니다
퀴 노아와 심황을 넣고 15 분 동안 또는 퀴 노아가 확장 될 때까지 요리하십시오.일단 요리 한 후에.파슬리와 크랜베리를 섞습니다
퀴 노아를 피망에 붓고 5-10 분 동안 오븐에 다시 놓습니다.
요리하면 오븐에서 제거하고 상단에 아보카도를 추가하십시오.
제공하다","서빙 크기 738g
칼로리 442 Cal
단백질 17.6g
지방, 총 13.4g
- 포화 된 1.8g
탄수화물 52.6g
- 설탕 22.2g
-정식 섬유 17.8g
나트륨 34mg",https://cdn.f45training.com/strapi/uploads/2019/11/12165346/capsicum.jpg
Lentil Bruschetta,"3.2 온스 통조림 브라운 렌즈 콩 (헹굼 및 배수)
3.6 온스 토마토 (깍둑 썰기)
1.8 온스 붉은 양파 (깍둑 썰기)
1.8 온스 아보카도 (다진)
0.4 온스 바질 (신선하고 다진)
마늘 정향 1 개 (으깬)
0.7 fl.oz 브라운 발사믹 식초
0.3 fl.oz 엑스트라 버진 올리브 오일 (1.5 tsp.)
1 x 1.34oz 전체 곡물 빵 조각
1 히말라야 소금과 후추를 꼬집어","지침
좋아할 때까지 빵을 토스트하고 접시로 옮깁니다.
빵이 토스트하는 동안 렌즈 콩, 토마토, 아보카도, 붉은 양파, 바질 및 마늘을 그릇에 결합합니다.
올리브 오일과 식초를 섞어 히말라야 소금과 후추로 계절
렌즈 콩 브루스케타를 두 조각 조각에 붓습니다
제공하다","서빙 크기 370g
칼로리 444 Cal
단백질 17.0g
지방, 총 21.2g
- 포화 2.9g
탄수화물 37.9g
- 설탕 9.2g
나트륨 114mg",https://cdn.f45training.com/strapi/uploads/2019/11/12153631/tomato-lentil-bruscjetta.jpg
Zesty Tempeh 및 Zucchini Noodle Bowl,"11 온스 템페 (다진)
11 온스 호박 (리본으로 나선형 또는 껍질을 벗기)
3.6 온스 체리 토마토 (절반)
0.8 온스 바질 (다진)
1.5 온스 파기 (미세하게 다진)
0.2 온스 칠리 (미세한 다진)
마늘 정향 1 개 (다진)
0.9 온스 파인 너트
1.5fl 오즈 레몬 주스, 갓 짜낸
3.2 온스 리코 타 치즈
0.4 fl.oz 엑스트라 버진 올리브 오일 (2 tsp)","지침
중간 열에서 큰 프라이팬에서 올리브 오일의 절반을 가열하십시오.Tempeh를 넣고 각 측면 또는 황금빛까지 2 분 동안 요리하십시오.팬에서 제거하고 따로 보관하십시오
팬에 남은 올리브 오일을 추가하십시오.파기와 마늘을 추가하십시오.2 분 동안 요리하십시오.호박 나선, 바질, 칠리, 소나무 너트, 리코 타 치즈 및 체리 토마토를 섞어 3 분 동안 요리하여 가끔 저어주십시오.
요리하면 Tempeh, 레몬 풍미 및 레몬 주스를 접시를 통해 섞습니다.소금과 후추로 간을 맞춘다
식사를 2 인분으로 나눕니다.그릇에 서빙 한 요리와 내일의 남은 음식을 위해 두 번째 식사를 냉장
즐기다","서빙 크기 459g
칼로리 456 Cal
단백질 31.24g
지방, 총 26.05g
- 포화 5.80g
탄수화물 21.53g
- 설탕 7.53g
식이 섬유 14.22g
나트륨 379.96mg",https://cdn.f45training.com/strapi/uploads/2019/11/12125905/tempeh-zucchini-noodle.jpg
구운 야채를 곁들인 양고기 커틀릿,"2 x 5.29oz 양고기 절단, 요리되지 않은 (지방 제거)
0.4 온스 로즈마리 (램 마리 네이트)
0.1 fl.oz 엑스트라 버진 올리브 오일 (0.5tsp. (마늘 주입 올리브 오일)))
마늘 정향 1 개 (파쇄 된 (마늘 주입 올리브 오일))
0.5fl.오즈 레몬 주스, 갓 짜낸
11 온스 고구마 (요리되지 않은, 다진)
5.3 온스 호박 (요리되지 않은, 다진)
7.1 온스 당근 (요리되지 않은, 다진)
1.8 온스 붉은 양파 (요리되지 않은, 다진)
0.1 fl.oz 엑스트라 버진 올리브 오일 (0.5 tsp. (Lamb Marinte))
2 티스푼 말린 바질
1 히말라야 소금과 후추를 꼬집어
마늘 정향 1 개 (으깬, 양고기 마리 네이트)","지침
화씨 356도까지 오븐을 예열하십시오.베이킹 용지로 베이킹 트레이를 줄이십시오.따로
마늘 주입 오일을 만들기 위해.올리브 오일과 마늘을 작은 그릇에 넣습니다.
당근, 호박, 고구마 및 양파를 트레이에 놓고 생과자 브러시를 사용하여 마늘 오일을 야채 위에 문지릅니다.바질, 히말라야 소금 및 후추로 야채를 양념
오븐에서 야채를 25-30 분 동안 또는 요리 할 때까지 굽습니다.야채를 요리하면 오븐에서 제거하고 따로 보관하십시오.
야채가 베이킹하는 동안 올리브 오일, 로즈마리, 마늘 및 레몬 주스로 양고기 갈비를 담그십시오.
바베큐를 데우고 양고기를 양쪽에 몇 분 동안 또는 좋아하는 것까지 요리 할 때까지 요리합니다.
양고기 갈비와 야채를 두 접시 사이로 나눕니다.내일의 남은 음식을 위해 두 번째 식사를 요리하고 냉장식 한 요리","서빙 크기 524g
칼로리 460 Cal
단백질 47.2g
지방, 총 13.9g
- 포화 4.7g
탄수화물 31.0g
- 설탕 17.2g
나트륨 229mg",https://cdn.f45training.com/strapi/uploads/2019/11/11150844/lamb-chops-with-roasted-cegetables.jpg
그리스 메스 제이 보드,"50g Halloumi 치즈, 슬라이스
25G 검은 올리브
125g 토마토, 다진
125g 캡시 쿰, 슬라이스
50g 오이, 격자
65G 그리스 요구르트
2 마늘 정향
3 tsp.말린 민트
1 히말라야 소금과 후추를 꼬집어
1 fl oz 레몬 신선하게 압박
125g 요리되지 않은 닭 가슴살, 다진
2 tsp.말린 오레가노
마늘 정향 1 개, 분쇄
꼬치","지침
닭고기, 레몬 주스, 오레가노 및 마늘을 그릇에 결합하여 닭 꼬치를 잘라내십시오.후추와 함께.Glad Wrap으로 덮고 30 분 동안 냉장 보관하십시오.절인 후에는 닭고기를 꼬치에 끼 웁니다
바베큐 그릴을 데우고 닭고기를 8-10 분 동안 요리하여 때때로 닭의 모든 측면을 익히도록하십시오.일단 요리하면 꼬치를 서빙 보드에 추가하십시오
중간 온도에서 끈이없는 튀김 팬을 가열하고 Halloumi를 각 측면에서 또는 황금빛 갈색까지 3 분 동안 요리하십시오.닭 꼬치 옆에 Halloumi를 추가하십시오
Tzatziki를 만들려면 오이, 요구르트, 마늘, 민트 및 소금을 작은 그릇에 넣으십시오.그릇을 Mezze 보드에 추가하십시오
재료를 결합하지 않고 검은 올리브, 토마토 및 고추를 보드에 추가하십시오.
제공하다","서빙 크기 612g
칼로리 462 Cal
단백질 48.3g
지방, 총 17.8g
- 포화 7.8g
탄수화물 19g
- 설탕 16g
나트륨 2104.8mg
식이 섬유 10.5g",https://cdn.f45training.com/strapi/uploads/2019/11/04170219/greek-mezze.jpg
레몬 리코 타와 연어 호박 국수 그릇,"8.9 온스 연어 필렛 (다진)
14 온스 호박 (나선형)
3.6 온스 체리 토마토 (반으로 얇게 썬)
0.4 온스 바질 (다진)
1.5 온스 파기 (미세하게 다진)
0.2 온스 붉은 고추 (미세하게 다진)
마늘 정향 1 개, 분쇄
10G 파인 너트
0.34 fl oz 레몬 주스, 갓 짜낸
2.2 온스 리코 타 치즈
0.2 fl.oz 엑스트라 버진 올리브 오일
1 히말라야 소금과 후추를 꼬집어","지침
중간 온도에서 큰 튀김 팬에 올리브 오일을 가열하고 봄 양파와 마늘을 몇 분 동안 볶습니다.
호박 나선, 바질, 고추, 소나무 너트, 리코 타 치즈 및 체리 토마토를 섞어 5-7 분 동안 요리하여 가끔 저어줍니다.
중간 열 위에 별도의 튀김 팬에서 레몬 주스와 함께 연어를 양쪽에 2-3 분 동안 또는 좋아하는 요리까지 요리하십시오.
요리 한 후에는 접시를 통해 연어를 섞습니다.히말라야 소금과 후추로 계절
식사를 2 인분으로 나눕니다.그릇에 서빙 한 요리와 내일의 남은 음식을 위해 두 번째 식사를 냉장","서빙 크기 447g
칼로리 450 cal
단백질 31.9g
지방, 총 32.7g
- 포화 7.0g
탄수화물 6.8g
- 설탕 6.5g
나트륨 93mg",https://cdn.f45training.com/strapi/uploads/2019/11/04161540/salmon-ricotta-zoodles.jpg
